"","evi"
"2000-03-05",0.3862
"2000-03-21",0.534393623275345
"2000-04-06",0.695281705928853
"2000-04-22",0.672333240926125
"2000-10-15",0.73296262113521
"2000-12-02",0.644753360910031
"2000-12-18",0.417964190193165
"2001-01-01",0.417964190193165
"2001-01-17",0.528157452574526
"2001-02-18",0.583721022467458
"2001-03-22",0.763838659810177
"2002-01-17",0.472355423476969
"2002-02-02",0.572269940249367
"2002-02-18",0.612948882539193
"2002-03-06",0.696001950167188
"2002-04-07",0.704494506304241
"2002-04-23",0.743230947216196
"2002-11-01",0.828318300238284
"2002-11-17",0.807694384429962
"2002-12-03",0.799432602234902
"2002-12-19",0.742803210068097
"2003-01-01",0.653744740558796
"2003-01-17",0.610885652226931
"2003-02-02",0.622420354735599
"2003-02-18",0.610615666250039
"2003-03-06",0.52044955331686
"2003-03-22",0.742038462945462
"2003-04-07",0.760732664808134
"2003-04-23",0.788996300133195
"2003-10-16",0.850498291369612
"2003-11-17",0.786491710721083
"2003-12-19",0.730308929545207
"2004-01-01",0.547552234401349
"2004-01-17",0.68783802846234
"2004-02-18",0.702960142988019
"2004-07-11",0.848776598768356
"2004-10-15",0.807764608322724
"2004-11-16",0.830743686918663
"2004-12-18",0.718071998386686
"2005-01-17",0.668664126756699
"2005-12-19",0.672275990387416
"2006-01-01",0.672275990387416
"2006-01-17",0.660747871843319
"2006-02-02",0.584624575311438
"2006-03-06",0.672494814218105
"2006-03-22",0.789414823420074
"2006-05-25",0.823842937598074
"2006-09-14",0.82395487698758
"2006-10-16",0.860678546069315
"2006-11-17",0.82649008861175
"2007-01-01",0.3945
"2007-02-02",0.581694249451316
"2007-03-22",0.583369771061983
"2007-04-23",0.814571591836735
"2007-09-30",0.823939591439689
"2007-10-16",0.858994290045478
"2007-11-17",0.844123427647241
"2008-01-01",0.588835764248705
"2008-01-17",0.612176922842423
"2008-02-02",0.643906541399783
"2008-05-08",0.840182510745968
"2008-06-09",0.826198748382444
"2008-10-15",0.875579574643572
"2008-10-31",0.766477291791492
"2008-12-02",0.748849035324821
"2008-12-18",0.699526829268293
"2009-01-01",0.668541496009999
"2009-01-17",0.641220800660338
"2009-02-02",0.666041732283465
"2009-03-06",0.768504510258208
"2009-03-22",0.725062289642095
"2009-04-07",0.789947023138127
"2009-04-23",0.79920790639712
"2009-05-09",0.842532771409306
"2009-05-25",0.824697344755053
"2009-11-17",0.739004054054054
"2010-02-02",0.67045234593953
"2010-04-07",0.785476503794034
"2010-04-23",0.832552153029409
"2010-05-25",0.766452806145779
"2010-07-12",0.799680833333333
"2010-12-03",0.81125582465488
"2010-12-19",0.641186196911197
"2011-01-01",0.641186196911197
"2011-01-17",0.59047940552017
"2011-02-02",0.628856305386187
"2011-04-07",0.790455560467031
"2011-04-23",0.786932452824436
"2011-10-16",0.857828826418948
"2011-11-17",0.828372682213374
"2011-12-03",0.5626
"2011-12-19",0.674787082486701
"2012-01-01",0.673943002460257
"2012-01-17",0.536665820404325
"2012-02-18",0.638415559323453
"2012-03-05",0.684976182233834
"2012-04-22",0.5489
"2012-05-24",0.746675566259184
"2012-10-15",0.872955882352941
"2012-10-31",0.848639057961179
"2012-12-18",0.7146975840935
"2013-01-01",0.706416513761468
"2013-01-17",0.599663574928197
"2013-02-18",0.658263586446214
"2013-03-22",0.838223026527559
"2013-04-07",0.847346382652459
"2013-05-25",0.822322898148149
"2013-12-03",0.790936391752577
"2013-12-19",0.694010038610039
"2014-01-17",0.693088231269244
"2014-02-18",0.568445
"2014-03-06",0.680743414459556
"2014-03-22",0.75784715231354
"2014-05-09",0.782786783284742
"2014-12-19",0.640796355522499
"2015-01-01",0.640796355522499
"2015-02-02",0.644
"2015-04-23",0.852432820938928
"2015-05-09",0.838161113163008
"2015-11-01",0.867244884733879
"2015-12-19",0.5265
"2016-01-17",0.558308911671924
"2016-03-21",0.715071943365365
"2016-12-02",0.667896879643388
"2017-01-01",0.62355945945946
"2017-01-17",0.684389142761333
"2017-02-02",0.642255448208929
"2017-03-22",0.759822940159375
"2017-04-23",0.763292631578947
"2017-05-09",0.867869775779113
"2017-05-25",0.84946682620492
"2017-11-17",0.810160013117621
"2018-02-02",0.614050891686736
"2018-02-18",0.658362680242661
"2018-03-06",0.754245813282002
"2018-11-17",0.8302
"2018-12-03",0.717341592682271
"2018-12-19",0.626136203628486
"2019-01-01",0.626136203628486
"2019-01-17",0.671847010368298
"2019-02-02",0.70509026128266
"2019-03-06",0.7076312769179
"2019-03-22",0.778620912721398
"2019-04-07",0.787196995701612
"2019-10-16",0.856206396739612
"2019-11-17",0.828030593015214
"2019-12-19",0.776315473684211
"2020-01-01",0.698630131503716
"2020-02-02",0.612904935586415
"2020-03-05",0.6575
"2020-04-22",0.816765216596043
"2021-03-06",0.730088369302308
"2021-03-22",0.704116182585207
"2021-04-07",0.770039347185418
"2021-04-23",0.804670649173882
"2021-09-14",0.795548752922837
"2021-11-01",0.8325
"2021-11-17",0.86296550056471
"2022-04-07",0.867070705840889
