"","year","month","MinTemperature"
"1",2000,1,214.8417163
"2",2000,2,210.255423
"3",2000,3,234.7644207
"4",2000,4,235.4343443
"5",2000,5,233.4335234
"6",2000,6,220.0748351
"7",2000,7,216.7421337
"8",2000,8,209.6866819
"9",2000,9,214.4186371
"10",2000,10,217.3719524
"11",2000,11,209.1939695
"12",2000,12,201.4060062
"13",2001,1,196.6366868
"14",2001,2,215.0925336
"15",2001,3,232.7547776
"16",2001,4,234.3879034
"17",2001,5,236.9657452
"18",2001,6,223.8753538
"19",2001,7,217.5605452
"20",2001,8,212.5568726
"21",2001,9,216.4109145
"22",2001,10,218.3835839
"23",2001,11,218.0413033
"24",2001,12,210.9518258
"25",2002,1,204.0226665
"26",2002,2,215.4241229
"27",2002,3,240.5691107
"28",2002,4,240.14794
"29",2002,5,239.1772607
"30",2002,6,224.1391224
"31",2002,7,221.8648683
"32",2002,8,217.7555925
"33",2002,9,219.0335046
"34",2002,10,215.6544297
"35",2002,11,212.9079395
"36",2002,12,204.0579489
"37",2003,1,206.7416242
"38",2003,2,233.655663
"39",2003,3,237.2527192
"40",2003,4,236.5257116
"41",2003,5,236.8741307
"42",2003,6,222.5532759
"43",2003,7,216.0269633
"44",2003,8,215.150557
"45",2003,9,218.1155326
"46",2003,10,224.4665267
"47",2003,11,213.0521767
"48",2003,12,204.6414446
"49",2004,1,208.4595488
"50",2004,2,225.3673835
"51",2004,3,240.5242338
"52",2004,4,238.2910557
"53",2004,5,234.036522
"54",2004,6,220.7769782
"55",2004,7,218.01966
"56",2004,8,216.1236259
"57",2004,9,218.3235989
"58",2004,10,217.4871369
"59",2004,11,218.5104428
"60",2004,12,216.4743485
"61",2005,1,201.3045731
"62",2005,2,244.3818613
"63",2005,3,248.7396437
"64",2005,4,245.4356399
"65",2005,5,236.6134633
"66",2005,6,225.7349055
"67",2005,7,220.4688439
"68",2005,8,214.5415822
"69",2005,9,221.8615082
"70",2005,10,220.0593398
"71",2005,11,216.4903639
"72",2005,12,212.9020373
"73",2006,1,210.931397
"74",2006,2,229.6768502
"75",2006,3,237.6814983
"76",2006,4,243.6245783
"77",2006,5,232.3386418
"78",2006,6,227.43027
"79",2006,7,224.722409
"80",2006,8,217.0824368
"81",2006,9,219.1756982
"82",2006,10,221.9645223
"83",2006,11,208.53671
"84",2006,12,202.6876748
"85",2007,1,191.7811028
"86",2007,2,218.3174858
"87",2007,3,239.9276999
"88",2007,4,238.8040417
"89",2007,5,237.6766872
"90",2007,6,227.3218223
"91",2007,7,222.9933916
"92",2007,8,216.0415891
"93",2007,9,219.7915186
"94",2007,10,222.2797865
"95",2007,11,214.5276877
"96",2007,12,206.2277686
"97",2008,1,184.9344536
"98",2008,2,213.368782
"99",2008,3,234.181284
"100",2008,4,238.8730665
"101",2008,5,235.2326417
"102",2008,6,223.5089443
"103",2008,7,218.3138364
"104",2008,8,214.411836
"105",2008,9,219.2536112
"106",2008,10,222.0875455
"107",2008,11,209.4538392
"108",2008,12,210.1789732
"109",2009,1,201.2887012
"110",2009,2,236.6328179
"111",2009,3,243.5852963
"112",2009,4,235.5508769
"113",2009,5,235.3115713
"114",2009,6,226.3641926
"115",2009,7,222.0387539
"116",2009,8,218.374467
"117",2009,9,220.459506
"118",2009,10,222.7015225
"119",2009,11,210.7877887
"120",2009,12,208.4379246
"121",2010,1,206.5338236
"122",2010,2,235.8244478
"123",2010,3,249.5632379
"124",2010,4,246.07096
"125",2010,5,243.4367374
"126",2010,6,231.5358516
"127",2010,7,222.9065604
"128",2010,8,219.3157382
"129",2010,9,220.1311934
"130",2010,10,222.0704731
"131",2010,11,217.9633695
"132",2010,12,200.0261326
"133",2011,1,200.3503918
"134",2011,2,225.3987657
"135",2011,3,246.5343457
"136",2011,4,239.9034237
"137",2011,5,236.5438079
"138",2011,6,230.1254703
"139",2011,7,220.9444769
"140",2011,8,217.7044151
"141",2011,9,220.9175673
"142",2011,10,224.1426901
"143",2011,11,212.3586008
"144",2011,12,198.4347731
"145",2012,1,197.4799161
"146",2012,2,226.9046872
"147",2012,3,241.2108238
"148",2012,4,237.8417461
"149",2012,5,232.9353074
"150",2012,6,222.5031329
"151",2012,7,219.057397
"152",2012,8,215.0546725
"153",2012,9,216.5283239
"154",2012,10,224.8593149
"155",2012,11,220.526989
"156",2012,12,206.1133732
"157",2013,1,200.450774
"158",2013,2,226.8393363
"159",2013,3,245.2674187
"160",2013,4,236.5619347
"161",2013,5,231.655125
"162",2013,6,224.5688021
"163",2013,7,218.4062802
"164",2013,8,215.1569903
"165",2013,9,221.6320135
"166",2013,10,218.7922179
"167",2013,11,218.7174687
"168",2013,12,204.5899691
"169",2014,1,215.9255269
"170",2014,2,227.132035
"171",2014,3,236.5178654
"172",2014,4,238.9392329
"173",2014,5,239.5343986
"174",2014,6,229.2137789
"175",2014,7,226.5898461
"176",2014,8,218.254973
"177",2014,9,221.2323967
"178",2014,10,224.4428156
"179",2014,11,223.1586275
"180",2014,12,204.591291
"181",2015,1,196.8112407
"182",2015,2,230.329974
"183",2015,3,239.5575296
"184",2015,4,236.488929
"185",2015,5,241.1669699
"186",2015,6,230.9270582
"187",2015,7,222.6122052
"188",2015,8,221.9335834
"189",2015,9,223.1885938
"190",2015,10,230.5070232
"191",2015,11,216.6713197
"192",2015,12,202.0575231
"193",2016,1,209.2052775
"194",2016,2,232.8692537
"195",2016,3,247.5508317
"196",2016,4,249.4949949
"197",2016,5,243.3505948
"198",2016,6,230.0381177
"199",2016,7,228.0662589
"200",2016,8,221.8719198
"201",2016,9,220.8883302
"202",2016,10,226.102363
"203",2016,11,225.8167113
"204",2016,12,219.4370452
"205",2017,1,214.1602302
"206",2017,2,234.7077215
"207",2017,3,251.3331386
"208",2017,4,247.6527877
"209",2017,5,238.5912143
"210",2017,6,230.0189742
"211",2017,7,224.916099
"212",2017,8,220.8266136
"213",2017,9,223.9830523
"214",2017,10,229.1199352
"215",2017,11,221.6321725
"216",2017,12,214.168711
"217",2018,1,201.5008366
"218",2018,2,238.1070366
"219",2018,3,239.6174441
"220",2018,4,242.3738548
"221",2018,5,240.4635607
"222",2018,6,229.8576896
"223",2018,7,224.5305259
"224",2018,8,220.6229036
"225",2018,9,223.9247449
"226",2018,10,227.5041712
"227",2018,11,220.7251146
"228",2018,12,204.2113102
"229",2019,1,218.5682027
"230",2019,2,234.9221709
"231",2019,3,250.2158491
"232",2019,4,251.4351255
"233",2019,5,243.0643063
"234",2019,6,232.3321486
"235",2019,7,226.4766081
"236",2019,8,224.2036983
"237",2019,9,225.9967061
"238",2019,10,219.7962704
"239",2019,11,225.4323982
"240",2019,12,216.7118633
"241",2020,1,209.4359096
"242",2020,2,232.0488206
"243",2020,3,248.8481052
"244",2020,4,246.1944543
"245",2020,5,243.6835343
"246",2020,6,229.8825259
"247",2020,7,224.6877963
"248",2020,8,222.4078973
"249",2020,9,222.2984012
"250",2020,10,223.0232335
"251",2020,11,222.6970344
"252",2020,12,218.8750574
"253",2021,1,215.8638507
"254",2021,2,230.4511591
"255",2021,3,243.6392637
"256",2021,4,250.8074428
"257",2021,5,246.6546905
"258",2021,6,232.1714466
"259",2021,7,227.7296737
"260",2021,8,222.6644771
"261",2021,9,225.9581302
"262",2021,10,229.2362121
"263",2021,11,223.8361088
"264",2021,12,215.8817506
