"","year","month","mean_evi","date"
"119",2000,1,NA,2000-01-01
"215",2000,2,NA,2000-02-01
"1",2000,3,0.00528033328334333,2000-03-01
"2",2000,4,0.00772646122383207,2000-04-01
"510",2000,5,NA,2000-05-01
"610",2000,6,NA,2000-06-01
"710",2000,7,NA,2000-07-01
"810",2000,8,NA,2000-08-01
"910",2000,9,NA,2000-09-01
"3",2000,10,0.00947285725273035,2000-10-01
"1110",2000,11,NA,2000-11-01
"4",2000,12,0.00533101489571921,2000-12-01
"5",2001,1,0.00493593457344925,2001-01-01
"6",2001,2,0.00648376032679938,2001-02-01
"7",2001,3,0.0102466963463797,2001-03-01
"161",2001,4,NA,2001-04-01
"171",2001,5,NA,2001-05-01
"181",2001,6,NA,2001-06-01
"191",2001,7,NA,2001-07-01
"204",2001,8,NA,2001-08-01
"218",2001,9,NA,2001-09-01
"227",2001,10,NA,2001-10-01
"231",2001,11,NA,2001-11-01
"241",2001,12,NA,2001-12-01
"8",2002,1,0.00445126300148588,2002-01-01
"9",2002,2,0.00655655491015093,2002-02-01
"10",2002,3,0.00661943713371445,2002-03-01
"11",2002,4,0.0093367043828696,2002-04-01
"291",2002,5,NA,2002-05-01
"301",2002,6,NA,2002-06-01
"311",2002,7,NA,2002-07-01
"321",2002,8,NA,2002-08-01
"331",2002,9,NA,2002-09-01
"341",2002,10,NA,2002-10-01
"12",2002,11,0.0107515813048648,2002-11-01
"13",2002,12,0.00815896649594213,2002-12-01
"14",2003,1,0.00655798855325221,2003-01-01
"15",2003,2,0.00647298595796801,2003-02-01
"16",2003,3,0.0061527727104204,2003-03-01
"17",2003,4,0.00940621961679047,2003-04-01
"411",2003,5,NA,2003-05-01
"421",2003,6,NA,2003-06-01
"431",2003,7,NA,2003-07-01
"441",2003,8,NA,2003-08-01
"451",2003,9,NA,2003-09-01
"18",2003,10,0.00948640325281513,2003-10-01
"19",2003,11,0.00937943610347501,2003-11-01
"20",2003,12,0.00734296601774094,2003-12-01
"21",2004,1,0.0066689607178934,2004-01-01
"22",2004,2,0.00872939355835384,2004-02-01
"511",2004,3,NA,2004-03-01
"521",2004,4,NA,2004-04-01
"531",2004,5,NA,2004-05-01
"541",2004,6,NA,2004-06-01
"23",2004,7,0.00857056924048634,2004-07-01
"561",2004,8,NA,2004-08-01
"571",2004,9,NA,2004-09-01
"24",2004,10,0.0105209941030624,2004-10-01
"25",2004,11,0.00926757157464213,2004-11-01
"26",2004,12,0.00817686323625145,2004-12-01
"27",2005,1,0.00723742579438873,2005-01-01
"621",2005,2,NA,2005-02-01
"631",2005,3,NA,2005-03-01
"641",2005,4,NA,2005-04-01
"651",2005,5,NA,2005-05-01
"661",2005,6,NA,2005-06-01
"671",2005,7,NA,2005-07-01
"681",2005,8,NA,2005-08-01
"691",2005,9,NA,2005-09-01
"701",2005,10,NA,2005-10-01
"711",2005,11,NA,2005-11-01
"28",2005,12,0.00637713807165744,2005-12-01
"29",2006,1,0.00658632681875335,2006-01-01
"30",2006,2,0.00599845224613062,2006-02-01
"31",2006,3,0.00856790598991468,2006-03-01
"761",2006,4,NA,2006-04-01
"32",2006,5,0.0109068258062667,2006-05-01
"781",2006,6,NA,2006-06-01
"791",2006,7,NA,2006-07-01
"801",2006,8,NA,2006-08-01
"33",2006,9,0.00860727039000079,2006-09-01
"34",2006,10,0.0106925480417019,2006-10-01
"35",2006,11,0.00949171840003685,2006-11-01
"841",2006,12,NA,2006-12-01
"36",2007,1,0.00422333333333333,2007-01-01
"37",2007,2,0.00597520923717328,2007-02-01
"38",2007,3,0.00702831771439352,2007-03-01
"39",2007,4,0.00919421088435374,2007-04-01
"891",2007,5,NA,2007-05-01
"901",2007,6,NA,2007-06-01
"911",2007,7,NA,2007-07-01
"921",2007,8,NA,2007-08-01
"40",2007,9,0.00982591277561608,2007-09-01
"41",2007,10,0.0102402228959632,2007-10-01
"42",2007,11,0.00989954009098232,2007-11-01
"961",2007,12,NA,2007-12-01
"43",2008,1,0.00593009429903469,2008-01-01
"44",2008,2,0.0070676306400244,2008-02-01
"991",2008,3,NA,2008-03-01
"1001",2008,4,NA,2008-04-01
"45",2008,5,0.00919048631222754,2008-05-01
"46",2008,6,0.00936882068633899,2008-06-01
"1031",2008,7,NA,2008-07-01
"1041",2008,8,NA,2008-08-01
"1051",2008,9,NA,2008-09-01
"47",2008,10,0.00970323708346552,2008-10-01
"1071",2008,11,NA,2008-11-01
"48",2008,12,0.00811601813563573,2008-12-01
"49",2009,1,0.00646891846933331,2009-01-01
"50",2009,2,0.00732435544632897,2009-02-01
"51",2009,3,0.00854514144088805,2009-03-01
"52",2009,4,0.0109177704550127,2009-04-01
"53",2009,5,0.0108559818077237,2009-05-01
"1141",2009,6,NA,2009-06-01
"1151",2009,7,NA,2009-07-01
"1161",2009,8,NA,2009-08-01
"1171",2009,9,NA,2009-09-01
"1181",2009,10,NA,2009-10-01
"54",2009,11,0.00901083333333333,2009-11-01
"120",2009,12,NA,2009-12-01
"121",2010,1,NA,2010-01-01
"55",2010,2,0.00665742367041445,2010-02-01
"123",2010,3,NA,2010-03-01
"56",2010,4,0.00925284455186613,2010-04-01
"57",2010,5,0.00926473335772135,2010-05-01
"126",2010,6,NA,2010-06-01
"58",2010,7,0.0107929861111111,2010-07-01
"128",2010,8,NA,2010-08-01
"129",2010,9,NA,2010-09-01
"130",2010,10,NA,2010-10-01
"131",2010,11,NA,2010-11-01
"59",2010,12,0.00788925034483546,2010-12-01
"60",2011,1,0.00659655798371164,2011-01-01
"61",2011,2,0.00654181548944623,2011-02-01
"135",2011,3,NA,2011-03-01
"62",2011,4,0.00861264590891077,2011-04-01
"137",2011,5,NA,2011-05-01
"138",2011,6,NA,2011-06-01
"139",2011,7,NA,2011-07-01
"140",2011,8,NA,2011-08-01
"141",2011,9,NA,2011-09-01
"63",2011,10,0.00930796370150609,2011-10-01
"64",2011,11,0.00944596571057122,2011-11-01
"65",2011,12,0.00651383638501405,2011-12-01
"66",2012,1,0.0064873212423304,2012-01-01
"67",2012,2,0.00773666677133049,2012-02-01
"68",2012,3,0.00858573296320488,2012-03-01
"69",2012,4,0.00725,2012-04-01
"70",2012,5,0.0103284233657491,2012-05-01
"150",2012,6,NA,2012-06-01
"151",2012,7,NA,2012-07-01
"152",2012,8,NA,2012-08-01
"153",2012,9,NA,2012-09-01
"71",2012,10,0.00955168636932852,2012-10-01
"155",2012,11,NA,2012-11-01
"72",2012,12,0.00728910027080958,2012-12-01
"73",2013,1,0.00656462684156604,2013-01-01
"74",2013,2,0.00660240572906036,2013-02-01
"75",2013,3,0.00993131186134727,2013-03-01
"76",2013,4,0.0116880026605853,2013-04-01
"77",2013,5,0.00938966774691357,2013-05-01
"162",2013,6,NA,2013-06-01
"163",2013,7,NA,2013-07-01
"164",2013,8,NA,2013-08-01
"165",2013,9,NA,2013-09-01
"166",2013,10,NA,2013-10-01
"167",2013,11,NA,2013-11-01
"78",2013,12,0.00941275094203185,2013-12-01
"79",2014,1,0.00668224883110959,2014-01-01
"80",2014,2,0.005958,2014-02-01
"81",2014,3,0.00785177839429919,2014-03-01
"172",2014,4,NA,2014-04-01
"82",2014,5,0.0107881341107872,2014-05-01
"174",2014,6,NA,2014-06-01
"175",2014,7,NA,2014-07-01
"176",2014,8,NA,2014-08-01
"177",2014,9,NA,2014-09-01
"178",2014,10,NA,2014-10-01
"179",2014,11,NA,2014-11-01
"83",2014,12,0.00730979794223379,2014-12-01
"84",2015,1,0.00730979794223379,2015-01-01
"85",2015,2,0.00771833333333333,2015-02-01
"183",2015,3,NA,2015-03-01
"86",2015,4,0.0101837390077552,2015-04-01
"87",2015,5,0.0113802958210889,2015-05-01
"186",2015,6,NA,2015-06-01
"187",2015,7,NA,2015-07-01
"188",2015,8,NA,2015-08-01
"189",2015,9,NA,2015-09-01
"190",2015,10,NA,2015-10-01
"88",2015,11,0.0109001450122171,2015-11-01
"89",2015,12,0.00620333333333333,2015-12-01
"90",2016,1,0.00629299618822292,2016-01-01
"194",2016,2,NA,2016-02-01
"91",2016,3,0.00718393239283036,2016-03-01
"196",2016,4,NA,2016-04-01
"197",2016,5,NA,2016-05-01
"198",2016,6,NA,2016-06-01
"199",2016,7,NA,2016-07-01
"200",2016,8,NA,2016-08-01
"201",2016,9,NA,2016-09-01
"202",2016,10,NA,2016-10-01
"203",2016,11,NA,2016-11-01
"92",2016,12,0.00778430163447251,2016-12-01
"93",2017,1,0.00679754959808232,2017-01-01
"94",2017,2,0.00698542806305512,2017-02-01
"95",2017,3,0.0104509908284469,2017-03-01
"96",2017,4,0.0106925396322131,2017-04-01
"97",2017,5,0.0104522208239451,2017-05-01
"210",2017,6,NA,2017-06-01
"211",2017,7,NA,2017-07-01
"212",2017,8,NA,2017-08-01
"213",2017,9,NA,2017-09-01
"214",2017,10,NA,2017-10-01
"98",2017,11,0.00979526399212943,2017-11-01
"216",2017,12,NA,2017-12-01
"217",2018,1,NA,2018-01-01
"99",2018,2,0.00687974664410776,2018-02-01
"100",2018,3,0.00774910779595765,2018-03-01
"220",2018,4,NA,2018-04-01
"221",2018,5,NA,2018-05-01
"222",2018,6,NA,2018-06-01
"223",2018,7,NA,2018-07-01
"224",2018,8,NA,2018-08-01
"225",2018,9,NA,2018-09-01
"226",2018,10,NA,2018-10-01
"101",2018,11,0.009405,2018-11-01
"102",2018,12,0.00742608056028897,2018-12-01
"103",2019,1,0.00665417688350808,2019-01-01
"104",2019,2,0.00765789984164687,2019-02-01
"105",2019,3,0.00900785126910019,2019-03-01
"106",2019,4,0.00842319221311058,2019-04-01
"233",2019,5,NA,2019-05-01
"234",2019,6,NA,2019-06-01
"235",2019,7,NA,2019-07-01
"236",2019,8,NA,2019-08-01
"237",2019,9,NA,2019-09-01
"107",2019,10,0.0107419472254216,2019-10-01
"108",2019,11,0.00956245014983864,2019-11-01
"109",2019,12,0.00844689824561404,2019-12-01
"110",2020,1,0.0077625786163522,2020-01-01
"111",2020,2,0.00689453822988121,2020-02-01
"112",2020,3,0.00685833333333333,2020-03-01
"113",2020,4,0.0091029694184475,2020-04-01
"245",2020,5,NA,2020-05-01
"246",2020,6,NA,2020-06-01
"247",2020,7,NA,2020-07-01
"248",2020,8,NA,2020-08-01
"249",2020,9,NA,2020-09-01
"250",2020,10,NA,2020-10-01
"251",2020,11,NA,2020-11-01
"252",2020,12,NA,2020-12-01
"253",2021,1,NA,2021-01-01
"254",2021,2,NA,2021-02-01
"114",2021,3,0.00943214033492611,2021-03-01
"115",2021,4,0.00964939272167279,2021-04-01
"257",2021,5,NA,2021-05-01
"258",2021,6,NA,2021-06-01
"259",2021,7,NA,2021-07-01
"260",2021,8,NA,2021-08-01
"116",2021,9,0.00982043972460379,2021-09-01
"262",2021,10,NA,2021-10-01
"117",2021,11,0.010597864020735,2021-11-01
"264",2021,12,NA,2021-12-01
"265",2022,1,NA,2022-01-01
"266",2022,2,NA,2022-02-01
"267",2022,3,NA,2022-03-01
"118",2022,4,0.0103646257729647,2022-04-01
"269",2022,5,NA,2022-05-01
"270",2022,6,NA,2022-06-01
"271",2022,7,NA,2022-07-01
"272",2022,8,NA,2022-08-01
"273",2022,9,NA,2022-09-01
"274",2022,10,NA,2022-10-01
